home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
DET,CHI,,,,,220,-275,2022-03-09
CHA,BOS,,,,,225,-280,2022-03-09
MIL,ATL,,,,,-195,165,2022-03-09
MIA,PHO,,,,,-160,140,2022-03-09
MIN,OKC,,,,,-1600,900,2022-03-09
HOU,LA,,,,,225,-280,2022-03-09
NO,ORL,,,,,-365,280,2022-03-09
DAL,NY,,,,,-435,330,2022-03-09
SA,TOR,,,,,100,-120,2022-03-09
SAC,DEN,,,,,200,-250,2022-03-09
UTA,POR,,,,,-3300,1400,2022-03-09
LA,WAS,,,,,-165,145,2022-03-09
DET,CHI,,,,,210,-280,2022-03-09
CHA,BOS,0.0,0.0,1,11:52,210,-280,2022-03-09
DET,CHI,0.0,2.0,1,11:33,230,-315,2022-03-09
CHA,BOS,3.0,2.0,1,11:09,185,-245,2022-03-09
DET,CHI,2.0,2.0,1,10:57,210,-280,2022-03-09
CHA,BOS,3.0,4.0,1,10:38,210,-280,2022-03-09
NO,ORL,,,,,-350,270,2022-03-09
DET,CHI,4.0,4.0,1,10:25,210,-280,2022-03-09
CHA,BOS,3.0,6.0,1,10:10,240,-330,2022-03-09
DET,CHI,6.0,4.0,1,9:53,200,-265,2022-03-09
CHA,BOS,6.0,8.0,1,9:33,220,-300,2022-03-09
DET,CHI,6.0,6.0,1,9:27,200,-265,2022-03-09
CHA,BOS,7.0,8.0,1,9:36,215,-290,2022-03-09
CHA,BOS,8.0,8.0,1,9:28,210,-280,2022-03-09
DET,CHI,6.0,10.0,1,8:35,270,-385,2022-03-09
CHA,BOS,10.0,8.0,1,9:03,185,-245,2022-03-09
DET,CHI,6.0,10.0,1,8:15,260,-370,2022-03-09
CHA,BOS,10.0,12.0,1,8:23,220,-300,2022-03-09
DET,CHI,9.0,10.0,1,7:46,230,-315,2022-03-09
CHA,BOS,10.0,12.0,1,8:23,240,-330,2022-03-09
DET,CHI,9.0,12.0,1,7:17,240,-330,2022-03-09
DET,CHI,9.0,12.0,1,6:46,230,-315,2022-03-09
CHA,BOS,10.0,12.0,1,7:51,200,-265,2022-03-09
CHA,BOS,10.0,12.0,1,7:47,210,-280,2022-03-09
MIA,PHO,,,,,-165,145,2022-03-09
CHA,BOS,10.0,14.0,1,7:15,240,-330,2022-03-09
MIA,PHO,,,,,-170,150,2022-03-09
DET,CHI,9.0,12.0,1,6:46,240,-330,2022-03-09
CHA,BOS,10.0,14.0,1,6:54,250,-350,2022-03-09
DET,CHI,10.0,14.0,1,6:25,250,-350,2022-03-09
CHA,BOS,12.0,16.0,1,6:11,230,-315,2022-03-09
DET,CHI,10.0,14.0,1,6:11,250,-350,2022-03-09
CHA,BOS,14.0,16.0,1,5:39,185,-245,2022-03-09
DET,CHI,10.0,16.0,1,5:39,280,-400,2022-03-09
CHA,BOS,17.0,16.0,1,5:09,210,-280,2022-03-09
CHA,BOS,17.0,16.0,1,5:09,200,-265,2022-03-09
CHA,BOS,17.0,17.0,1,5:09,200,-265,2022-03-09
DET,CHI,10.0,18.0,1,4:56,350,-525,2022-03-09
CHA,BOS,17.0,17.0,1,4:57,200,-265,2022-03-09
DET,CHI,10.0,18.0,1,4:38,325,-475,2022-03-09
NO,ORL,,,,,-380,290,2022-03-09
DET,CHI,10.0,18.0,1,4:25,310,-450,2022-03-09
HOU,LA,,,,,240,-305,2022-03-09
CHA,BOS,17.0,19.0,1,4:14,230,-315,2022-03-09
DET,CHI,15.0,20.0,1,3:42,250,-350,2022-03-09
HOU,LA,,,,,245,-310,2022-03-09
CHA,BOS,19.0,19.0,1,3:41,210,-280,2022-03-09
DET,CHI,18.0,20.0,1,3:22,220,-300,2022-03-09
CHA,BOS,21.0,19.0,1,3:11,185,-245,2022-03-09
CHA,BOS,21.0,21.0,1,2:39,200,-265,2022-03-09
DET,CHI,18.0,20.0,1,3:22,240,-330,2022-03-09
CHA,BOS,21.0,21.0,1,2:26,185,-245,2022-03-09
DET,CHI,18.0,20.0,1,3:10,240,-330,2022-03-09
DET,CHI,18.0,20.0,1,2:37,240,-330,2022-03-09
DET,CHI,18.0,20.0,1,2:12,230,-315,2022-03-09
DET,CHI,20.0,20.0,1,1:37,200,-265,2022-03-09
CHA,BOS,22.0,21.0,1,2:19,180,-235,2022-03-09
DET,CHI,22.0,23.0,1,1:07,190,-255,2022-03-09
CHA,BOS,22.0,21.0,1,2:15,180,-235,2022-03-09
DET,CHI,22.0,25.0,1,0:36,240,-330,2022-03-09
CHA,BOS,22.0,21.0,1,2:01,210,-280,2022-03-09
DET,CHI,23.0,25.0,1,0:58,230,-315,2022-03-09
CHA,BOS,22.0,21.0,1,1:36,210,-280,2022-03-09
